P,K,BIC,R2,MSE,rho,stable,success,n_params
1,1,-6629946.272376311,1.0,0.0,0.0,True,True,2
1,2,-6629933.701882799,1.0,0.0,0.0,True,True,3
1,3,-6629921.131389287,1.0,0.0,0.0,True,True,4
1,4,-6629908.5608957745,1.0,0.0,0.0,True,True,5
2,1,-6628447.477818956,1.0,0.0,0.0,True,True,4
2,2,-6628422.337276524,1.0,0.0,0.0,True,True,6
2,3,-6628397.196734092,1.0,0.0,0.0,True,True,8
2,4,-6628372.05619166,1.0,0.0,0.0,True,True,10
3,1,-6626948.684151083,1.0,0.0,0.0,True,True,6
3,2,-6626910.974004473,1.0,0.0,0.0,True,True,9
3,3,-6626873.263857862,1.0,0.0,0.0,True,True,12
3,4,-6626835.553711251,1.0,0.0,0.0,True,True,15
5,1,-6623951.099484968,1.0,0.0,0.0,True,True,10
5,2,-6623888.251464817,1.0,0.0,0.0,True,True,15
5,3,-6623825.4034446655,1.0,0.0,0.0,True,True,20
5,4,-6623762.555424514,1.0,0.0,0.0,True,True,25
7,1,-6620953.518380345,1.0,0.0,0.0,True,True,14
7,2,-6620865.534267398,1.0,0.0,0.0,True,True,21
7,3,-6620777.55015445,1.0,0.0,0.0,True,True,28
7,4,-6620689.566041503,1.0,0.0,0.0,True,True,35
10,1,-6616457.153406408,1.0,0.0,0.0,True,True,20
10,2,-6616331.468495767,1.0,0.0,0.0,True,True,30
10,3,-6616205.783585126,1.0,0.0,0.0,True,True,40
10,4,-6616080.0986744845,1.0,0.0,0.0,True,True,50
15,1,-6608963.229624374,1.0,0.0,0.0,True,True,30
15,2,-6608774.718971506,1.0,0.0,0.0,True,True,45
15,3,-6608586.208318638,1.0,0.0,0.0,True,True,60
15,4,-6608397.697665771,1.0,0.0,0.0,True,True,75
20,1,-6601469.328176178,1.0,0.0,0.0,True,True,40
20,2,-6601218.002948002,1.0,0.0,0.0,True,True,60
20,3,-6600966.677719827,1.0,0.0,0.0,True,True,80
20,4,-6600715.352491652,1.0,0.0,0.0,True,True,100
